country,layer,source_survey,table_id,indicator,response_option,base_type,sample_n,value,unit,comparability,note
중국,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),전혀 방문할 의향이 없다,해외여행의향자(하위집합),1790.0,5.291929106056635,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
중국,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),별로 방문할 의향이 없다,해외여행의향자(하위집합),1790.0,10.611301932412749,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
중국,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),방문 의향을 정하지 않았다,해외여행의향자(하위집합),1790.0,21.74820719884686,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
중국,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),약간 방문할 의향이 있다,해외여행의향자(하위집합),1790.0,36.440005902398525,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
중국,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),매우 방문할 의향이 있다,해외여행의향자(하위집합),1790.0,25.90855586028474,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
중국,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),종합/Top2,해외여행의향자(하위집합),1790.0,62.34856176268359,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
중국,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),Mid,해외여행의향자(하위집합),1790.0,21.74820719884686,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
중국,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),Bot2,해외여행의향자(하위집합),1790.0,15.903231038469375,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
일본,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),전혀 방문할 의향이 없다,해외여행의향자(하위집합),603.0,12.873650747599358,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
일본,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),별로 방문할 의향이 없다,해외여행의향자(하위집합),603.0,14.525293429969016,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
일본,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),방문 의향을 정하지 않았다,해외여행의향자(하위집합),603.0,17.63628848406748,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
일본,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),약간 방문할 의향이 있다,해외여행의향자(하위집합),603.0,32.95868438709265,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
일본,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),매우 방문할 의향이 있다,해외여행의향자(하위집합),603.0,22.00608295127132,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
일본,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),종합/Top2,해외여행의향자(하위집합),603.0,54.96476733836394,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
일본,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),Mid,해외여행의향자(하위집합),603.0,17.63628848406748,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
일본,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),Bot2,해외여행의향자(하위집합),603.0,27.398944177568374,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
대만,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),전혀 방문할 의향이 없다,해외여행의향자(하위집합),357.0,1.693331859574383,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
대만,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),별로 방문할 의향이 없다,해외여행의향자(하위집합),357.0,7.231446166838445,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
대만,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),방문 의향을 정하지 않았다,해외여행의향자(하위집합),357.0,15.302720429138441,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
대만,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),약간 방문할 의향이 있다,해외여행의향자(하위집합),357.0,44.086083908490515,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
대만,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),매우 방문할 의향이 있다,해외여행의향자(하위집합),357.0,31.68641763595808,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
대만,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),종합/Top2,해외여행의향자(하위집합),357.0,75.77250154444869,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
대만,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),Mid,해외여행의향자(하위집합),357.0,15.302720429138441,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
대만,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),Bot2,해외여행의향자(하위집합),357.0,8.92477802641283,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
미국,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),전혀 방문할 의향이 없다,해외여행의향자(하위집합),368.0,29.14925170075095,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
미국,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),별로 방문할 의향이 없다,해외여행의향자(하위집합),368.0,13.11141449605808,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
미국,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),방문 의향을 정하지 않았다,해외여행의향자(하위집합),368.0,19.55534523897717,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
미국,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),약간 방문할 의향이 있다,해외여행의향자(하위집합),368.0,21.891866799351053,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
미국,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),매우 방문할 의향이 있다,해외여행의향자(하위집합),368.0,16.292121764862706,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
미국,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),종합/Top2,해외여행의향자(하위집합),368.0,38.183988564213756,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
미국,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),Mid,해외여행의향자(하위집합),368.0,19.55534523897717,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
미국,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),Bot2,해외여행의향자(하위집합),368.0,42.26066619680902,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
필리핀,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),전혀 방문할 의향이 없다,해외여행의향자(하위집합),306.0,3.5091806597902684,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
필리핀,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),별로 방문할 의향이 없다,해외여행의향자(하위집합),306.0,3.4604098236462053,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
필리핀,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),방문 의향을 정하지 않았다,해외여행의향자(하위집합),306.0,8.744255528300995,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
필리핀,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),약간 방문할 의향이 있다,해외여행의향자(하위집합),306.0,27.778682961542454,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
필리핀,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),매우 방문할 의향이 있다,해외여행의향자(하위집합),306.0,56.507471026720005,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
필리핀,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),종합/Top2,해외여행의향자(하위집합),306.0,84.28615398826254,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
필리핀,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),Mid,해외여행의향자(하위집합),306.0,8.744255528300995,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
필리핀,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),Bot2,해외여행의향자(하위집합),306.0,6.969590483436473,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
베트남,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),전혀 방문할 의향이 없다,해외여행의향자(하위집합),342.0,1.162895895561137,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
베트남,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),별로 방문할 의향이 없다,해외여행의향자(하위집합),342.0,1.419403357795412,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
베트남,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),방문 의향을 정하지 않았다,해외여행의향자(하위집합),342.0,12.316747624262618,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
베트남,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),약간 방문할 의향이 있다,해외여행의향자(하위집합),342.0,34.66324129650932,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
베트남,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),매우 방문할 의향이 있다,해외여행의향자(하위집합),342.0,50.437711825871645,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
베트남,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),종합/Top2,해외여행의향자(하위집합),342.0,85.10095312238091,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
베트남,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),Mid,해외여행의향자(하위집합),342.0,12.316747624262618,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
베트남,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),Bot2,해외여행의향자(하위집합),342.0,2.582299253356549,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
싱가포르,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),전혀 방문할 의향이 없다,해외여행의향자(하위집합),360.0,4.733554647396112,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
싱가포르,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),별로 방문할 의향이 없다,해외여행의향자(하위집합),360.0,8.447698859474997,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
싱가포르,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),방문 의향을 정하지 않았다,해외여행의향자(하위집합),360.0,20.362351058037394,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
싱가포르,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),약간 방문할 의향이 있다,해외여행의향자(하위집합),360.0,46.34624797188059,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
싱가포르,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),매우 방문할 의향이 있다,해외여행의향자(하위집합),360.0,20.110147463210982,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
싱가포르,Layer3_Visit_Intention,잠재방한객_일반외국인,B5A-1,향후 3년 내 한국 방문 의향(5점척도),종합/Top2,해외여행의향자(하위집합),360.0,66.45639543509154,%,conditional,해외여행 자체에 의향이 있는 사람만 대상이라 전체 모집단 기준(B5B-1)과 분모가 다름. | 원본 BASE 라벨: BASE:B3. ④~⑤
