country,culture_to_korea_positive_pct,culture_to_visit_positive_pct,observed_conditional_gap_pct_point,gap_tier,base_type,comparability
독일,41.09,26.28,14.81,Gap_큼(상위3분위),"문화경험자(잠재방한객조사, 전체 응답자의 하위집합)",conditional
호주,65.35,51.4,13.95,Gap_큼(상위3분위),"문화경험자(잠재방한객조사, 전체 응답자의 하위집합)",conditional
영국,62.4,48.9,13.5,Gap_큼(상위3분위),"문화경험자(잠재방한객조사, 전체 응답자의 하위집합)",conditional
태국,62.56,49.09,13.48,Gap_큼(상위3분위),"문화경험자(잠재방한객조사, 전체 응답자의 하위집합)",conditional
브라질,70.07,57.12,12.95,Gap_큼(상위3분위),"문화경험자(잠재방한객조사, 전체 응답자의 하위집합)",conditional
러시아,59.22,46.6,12.61,Gap_큼(상위3분위),"문화경험자(잠재방한객조사, 전체 응답자의 하위집합)",conditional
미국,55.75,43.2,12.55,Gap_큼(상위3분위),"문화경험자(잠재방한객조사, 전체 응답자의 하위집합)",conditional
사우디아라비아,72.84,60.46,12.38,Gap_중간(중위3분위),"문화경험자(잠재방한객조사, 전체 응답자의 하위집합)",conditional
일본,46.96,34.84,12.12,Gap_중간(중위3분위),"문화경험자(잠재방한객조사, 전체 응답자의 하위집합)",conditional
튀르키예,67.39,56.65,10.74,Gap_중간(중위3분위),"문화경험자(잠재방한객조사, 전체 응답자의 하위집합)",conditional
UAE,82.11,71.38,10.73,Gap_중간(중위3분위),"문화경험자(잠재방한객조사, 전체 응답자의 하위집합)",conditional
카자흐스탄,50.89,42.54,8.35,Gap_중간(중위3분위),"문화경험자(잠재방한객조사, 전체 응답자의 하위집합)",conditional
필리핀,78.72,71.26,7.46,Gap_중간(중위3분위),"문화경험자(잠재방한객조사, 전체 응답자의 하위집합)",conditional
캐나다,51.8,44.61,7.2,Gap_중간(중위3분위),"문화경험자(잠재방한객조사, 전체 응답자의 하위집합)",conditional
인도,79.72,72.88,6.84,Gap_중간(중위3분위),"문화경험자(잠재방한객조사, 전체 응답자의 하위집합)",conditional
싱가포르,70.66,63.94,6.72,Gap_중간(중위3분위),"문화경험자(잠재방한객조사, 전체 응답자의 하위집합)",conditional
멕시코,64.73,58.11,6.61,Gap_작음(하위3분위),"문화경험자(잠재방한객조사, 전체 응답자의 하위집합)",conditional
프랑스,48.05,42.37,5.68,Gap_작음(하위3분위),"문화경험자(잠재방한객조사, 전체 응답자의 하위집합)",conditional
인도네시아,72.81,67.32,5.49,Gap_작음(하위3분위),"문화경험자(잠재방한객조사, 전체 응답자의 하위집합)",conditional
베트남,73.6,68.14,5.46,Gap_작음(하위3분위),"문화경험자(잠재방한객조사, 전체 응답자의 하위집합)",conditional
대만,63.11,58.06,5.05,Gap_작음(하위3분위),"문화경험자(잠재방한객조사, 전체 응답자의 하위집합)",conditional
말레이시아,68.51,64.25,4.26,Gap_작음(하위3분위),"문화경험자(잠재방한객조사, 전체 응답자의 하위집합)",conditional
중국,67.85,64.35,3.5,Gap_작음(하위3분위),"문화경험자(잠재방한객조사, 전체 응답자의 하위집합)",conditional
