country,culture_experience_rate_pct,culture_experience_rate_pct_tier,hallyu_perception_positive_pct,hallyu_perception_positive_pct_tier,culture_to_korea_positive_pct,culture_to_korea_positive_pct_tier,visit_intention_positive_pct,visit_intention_positive_pct_tier,culture_to_visit_positive_pct,culture_to_visit_positive_pct_tier,top_visit_barrier,top_visit_barrier_rate_pct
중국,86.6339377066662,중위3분위,55.6,하위3분위,67.8535,중위3분위,42.933157101954336,중위3분위,64.3518,상위3분위,한류(한국 문화 콘텐츠) 문화 관련 관심 부재,11.159561994723584
일본,59.61876569632864,하위3분위,37.0,하위3분위,46.9632,하위3분위,19.84779610904272,중위3분위,34.8386,하위3분위,부정적인 한국 관련 이미지,38.0818804820478
대만,90.76244404002541,중위3분위,61.0,하위3분위,63.1091,중위3분위,58.22440130599792,상위3분위,58.0579,중위3분위,부정적인 한국 관련 이미지,25.75968460120828
미국,68.68783882603663,하위3분위,67.9,중위3분위,55.7454,하위3분위,15.095486856555402,하위3분위,43.1962,하위3분위,한류(한국 문화 콘텐츠) 문화 관련 관심 부재,14.539401388056486
필리핀,97.29916649771201,상위3분위,82.7,상위3분위,78.7172,상위3분위,55.39073497998478,상위3분위,71.2588,상위3분위,한류(한국 문화 콘텐츠) 문화 관련 관심 부재,18.68434931402712
베트남,98.02922038310989,상위3분위,75.0,상위3분위,73.6008,상위3분위,62.67346959049611,상위3분위,68.1376,상위3분위,불편한 비자 발급 및 출입국 절차(K-ETA 등),22.61509111221818
싱가포르,92.73864669578572,상위3분위,64.2,중위3분위,70.6601,상위3분위,51.46437544447438,상위3분위,63.9379,중위3분위,불편한 언어소통,23.428977456523878
인도네시아,95.71285045042282,상위3분위,73.0,중위3분위,72.8073,상위3분위,50.36146443416938,상위3분위,67.3195,상위3분위,불편한 언어소통,18.357751440788977
태국,90.72085913345016,중위3분위,72.6,중위3분위,62.565,중위3분위,36.5967026576235,중위3분위,49.0895,중위3분위,불편한 비자 발급 및 출입국 절차(K-ETA 등),17.905348876126858
말레이시아,91.16047806938194,상위3분위,70.5,중위3분위,68.5079,중위3분위,45.91515867228712,상위3분위,64.2509,상위3분위,적당하지 않은 여행경비 및 물가,12.048733455046113
캐나다,62.740574141577795,하위3분위,56.7,하위3분위,51.8044,하위3분위,17.338363892620297,하위3분위,44.6062,하위3분위,적당하지 않은 여행경비 및 물가,15.428640519208999
호주,65.41552291281546,하위3분위,63.9,중위3분위,65.3473,중위3분위,21.13233390662644,중위3분위,51.4006,중위3분위,여행목적지로서 낮은 한국 인지도,20.054283452098517
러시아,77.17413311313524,중위3분위,51.9,하위3분위,59.2173,하위3분위,14.512074021367363,하위3분위,46.6024,하위3분위,여행목적지로서 낮은 한국 인지도,16.87131269594596
인도,91.77473946881794,상위3분위,83.0,상위3분위,79.7204,상위3분위,43.45325248232832,중위3분위,72.8807,상위3분위,불편한 언어소통,9.300768709679744
프랑스,60.63605996694642,하위3분위,54.8,하위3분위,48.0494,하위3분위,15.155901431948468,하위3분위,42.3739,하위3분위,여행목적지로서 낮은 한국 인지도,20.495548101909637
독일,59.151073574938465,하위3분위,53.7,하위3분위,41.0855,하위3분위,13.144489555435948,하위3분위,26.2776,하위3분위,여행목적지로서 낮은 한국 인지도,14.621578934225862
영국,58.57531201296202,하위3분위,69.6,중위3분위,62.4005,중위3분위,17.259921189618048,하위3분위,48.8975,중위3분위,여행목적지로서 낮은 한국 인지도,16.992746537429976
멕시코,86.32758132999457,중위3분위,76.9,상위3분위,64.7281,중위3분위,37.17631306772462,중위3분위,58.1142,중위3분위,적당하지 않은 여행경비 및 물가,15.630058921146347
카자흐스탄,83.15456806541577,중위3분위,65.0,중위3분위,50.8869,하위3분위,17.09362336989714,하위3분위,42.5356,하위3분위,적당하지 않은 여행경비 및 물가,20.974824487932047
튀르키예,79.15910916837827,중위3분위,71.8,중위3분위,67.3934,중위3분위,25.67137490591626,중위3분위,56.6536,중위3분위,먹을거리 부족,12.384915572099434
브라질,78.68379061590217,중위3분위,76.6,상위3분위,70.0746,중위3분위,31.144863054386068,중위3분위,57.1223,중위3분위,한류(한국 문화 콘텐츠) 문화 관련 관심 부재,21.954840342163937
사우디아라비아,87.15586900519602,중위3분위,79.0,상위3분위,72.8403,상위3분위,42.05970197941871,중위3분위,60.4628,중위3분위,여행목적지로서 낮은 한국 인지도,11.992553562082552
UAE,93.22064976922864,상위3분위,80.9,상위3분위,82.1078,상위3분위,47.97737401149714,상위3분위,71.3765,상위3분위,여행목적지로서 낮은 한국 인지도,15.171140388219692
