country,culture_experience_rate_pct,culture_experience_rate_base_type,hallyu_overall_liking_score,culture_to_korea_positive_pct,hallyu_perception_positive_pct,visit_intention_positive_pct,culture_to_visit_positive_pct,top_visit_barrier,top_visit_barrier_rate_pct
중국,86.6339377066662,전체 응답자(스크리닝 없음),3.78,67.8535,55.6,42.933157101954336,64.3518,한류(한국 문화 콘텐츠) 문화 관련 관심 부재,11.159561994723584
일본,59.61876569632864,전체 응답자(스크리닝 없음),3.5,46.9632,37.0,19.84779610904272,34.8386,부정적인 한국 관련 이미지,38.0818804820478
대만,90.76244404002541,전체 응답자(스크리닝 없음),3.88,63.1091,61.0,58.22440130599792,58.0579,부정적인 한국 관련 이미지,25.75968460120828
미국,68.68783882603663,전체 응답자(스크리닝 없음),3.96,55.7454,67.9,15.095486856555402,43.1962,한류(한국 문화 콘텐츠) 문화 관련 관심 부재,14.539401388056486
필리핀,97.29916649771201,전체 응답자(스크리닝 없음),4.26,78.7172,82.7,55.39073497998478,71.2588,한류(한국 문화 콘텐츠) 문화 관련 관심 부재,18.68434931402712
베트남,98.02922038310989,전체 응답자(스크리닝 없음),3.99,73.6008,75.0,62.67346959049611,68.1376,불편한 비자 발급 및 출입국 절차(K-ETA 등),22.61509111221818
싱가포르,92.73864669578572,전체 응답자(스크리닝 없음),3.83,70.6601,64.2,51.46437544447438,63.9379,불편한 언어소통,23.428977456523878
인도네시아,95.71285045042282,전체 응답자(스크리닝 없음),4.14,72.8073,73.0,50.36146443416938,67.3195,불편한 언어소통,18.357751440788977
태국,90.72085913345016,전체 응답자(스크리닝 없음),4.07,62.565,72.6,36.5967026576235,49.0895,불편한 비자 발급 및 출입국 절차(K-ETA 등),17.905348876126858
말레이시아,91.16047806938194,전체 응답자(스크리닝 없음),4.02,68.5079,70.5,45.91515867228712,64.2509,적당하지 않은 여행경비 및 물가,12.048733455046113
캐나다,62.740574141577795,전체 응답자(스크리닝 없음),3.71,51.8044,56.7,17.338363892620297,44.6062,적당하지 않은 여행경비 및 물가,15.428640519208999
호주,65.41552291281546,전체 응답자(스크리닝 없음),3.82,65.3473,63.9,21.13233390662644,51.4006,여행목적지로서 낮은 한국 인지도,20.054283452098517
러시아,77.17413311313524,전체 응답자(스크리닝 없음),3.43,59.2173,51.9,14.512074021367363,46.6024,여행목적지로서 낮은 한국 인지도,16.87131269594596
인도,91.77473946881794,전체 응답자(스크리닝 없음),4.17,79.7204,83.0,43.45325248232832,72.8807,불편한 언어소통,9.300768709679744
프랑스,60.63605996694642,전체 응답자(스크리닝 없음),3.57,48.0494,54.8,15.155901431948468,42.3739,여행목적지로서 낮은 한국 인지도,20.495548101909637
독일,59.151073574938465,전체 응답자(스크리닝 없음),3.5,41.0855,53.7,13.144489555435948,26.2776,여행목적지로서 낮은 한국 인지도,14.621578934225862
영국,58.57531201296202,전체 응답자(스크리닝 없음),3.91,62.4005,69.6,17.259921189618048,48.8975,여행목적지로서 낮은 한국 인지도,16.992746537429976
멕시코,86.32758132999457,전체 응답자(스크리닝 없음),4.07,64.7281,76.9,37.17631306772462,58.1142,적당하지 않은 여행경비 및 물가,15.630058921146347
카자흐스탄,83.15456806541577,전체 응답자(스크리닝 없음),3.62,50.8869,65.0,17.09362336989714,42.5356,적당하지 않은 여행경비 및 물가,20.974824487932047
튀르키예,79.15910916837827,전체 응답자(스크리닝 없음),3.8,67.3934,71.8,25.67137490591626,56.6536,먹을거리 부족,12.384915572099434
브라질,78.68379061590217,전체 응답자(스크리닝 없음),3.98,70.0746,76.6,31.144863054386068,57.1223,한류(한국 문화 콘텐츠) 문화 관련 관심 부재,21.954840342163937
사우디아라비아,87.15586900519602,전체 응답자(스크리닝 없음),3.99,72.8403,79.0,42.05970197941871,60.4628,여행목적지로서 낮은 한국 인지도,11.992553562082552
UAE,93.22064976922864,전체 응답자(스크리닝 없음),4.1,82.1078,80.9,47.97737401149714,71.3765,여행목적지로서 낮은 한국 인지도,15.171140388219692
