country_idx,country,table_index,indicator_desc,pages,page_count
1,종합,3,이용 용이성,"6,7",2
1,종합,4,접촉경로,"8,9",2
1,종합,15,소비시간/소비비중/지출액,20,1
1,종합,16,호감도,"21,22",2
1,종합,17,호감요인,"23,24,25,26,27,28",6
1,종합,18,호감 저해요인,"29,30,31,32,33,34,35,36",8
1,종합,24,인지도(애니메이션),44,1
1,종합,26,인지도(게임),47,1
1,종합,31,한류 관련 정도,"52,53",2
1,종합,33,관심도 및 소비지출 의향,56,1
1,종합,35,콘텐츠 경험 후 한국 인식 변화,58,1
1,종합,37,한류 부정적 인식 공감 이유,59,1
1,종합,41,고관여 제품/서비스 구매(한국관광 포함),61,1
2,중국,3,이용 용이성,"68,69",2
2,중국,4,접촉경로,"70,71",2
2,중국,15,소비시간/소비비중/지출액,80,1
2,중국,16,호감도,"81,82",2
2,중국,17,호감요인,"83,84,85,86,87,88",6
2,중국,18,호감 저해요인,"89,90,91,92,93,94,95,96",8
2,중국,24,인지도(애니메이션),104,1
2,중국,26,인지도(게임),107,1
2,중국,31,한류 관련 정도,"112,113,353,473,533",5
2,중국,33,관심도 및 소비지출 의향,116,1
2,중국,35,콘텐츠 경험 후 한국 인식 변화,118,1
2,중국,37,한류 부정적 인식 공감 이유,119,1
2,중국,41,고관여 제품/서비스 구매(한국관광 포함),121,1
3,일본,3,이용 용이성,"128,129",2
3,일본,4,접촉경로,"130,131",2
3,일본,15,소비시간/소비비중/지출액,140,1
3,일본,16,호감도,"141,142",2
3,일본,17,호감요인,"143,144,145,146,147,148",6
3,일본,18,호감 저해요인,"149,150,151,152,153,154,155,156",8
3,일본,24,인지도(애니메이션),164,1
3,일본,26,인지도(게임),167,1
3,일본,31,한류 관련 정도,"172,173",2
3,일본,33,관심도 및 소비지출 의향,176,1
3,일본,35,콘텐츠 경험 후 한국 인식 변화,178,1
3,일본,37,한류 부정적 인식 공감 이유,179,1
3,일본,41,고관여 제품/서비스 구매(한국관광 포함),181,1
4,대만,3,이용 용이성,"188,189",2
4,대만,4,접촉경로,"190,191",2
4,대만,15,소비시간/소비비중/지출액,200,1
4,대만,16,호감도,"201,202",2
4,대만,17,호감요인,"203,204,205,206,207,208",6
4,대만,18,호감 저해요인,"209,210,211,212,213,214,215,216",8
