country,table_id,indicator,category,item,value,unit,base,source_page,extraction_method,ocr_confidence,verification_status,notes
중국,1-16,호감도,드라마,5점 척도 평균(점),3.73,score(1-5),990.0,"81,82",easyocr+label_targeted_row_lookup,0.9959,auto_extracted,
중국,1-16,호감도,예능,5점 척도 평균(점),3.77,score(1-5),978.0,"81,82",easyocr+label_targeted_row_lookup,0.9964,auto_extracted,
중국,1-16,호감도,영화,5점 척도 평균(점),3.79,score(1-5),988.0,"81,82",easyocr+label_targeted_row_lookup,0.5635,auto_extracted,
중국,1-16,호감도,음악,5점 척도 평균(점),3.8,score(1-5),989.0,"81,82",easyocr+label_targeted_row_lookup,0.9806,auto_extracted,
중국,1-16,호감도,애니메이션,5점 척도 평균(점),3.75,score(1-5),732.0,"81,82",easyocr+label_targeted_row_lookup,0.5982,auto_extracted,
중국,1-16,호감도,출판물,5점 척도 평균(점),3.8,score(1-5),501.0,"81,82",easyocr+label_targeted_row_lookup,0.739,auto_extracted,
중국,1-16,호감도,웹툰,5점 척도 평균(점),3.79,score(1-5),735.0,"81,82",easyocr+label_targeted_row_lookup,0.974,auto_extracted,
중국,1-16,호감도,게임,5점 척도 평균(점),3.86,score(1-5),741.0,"81,82",easyocr+label_targeted_row_lookup,0.8554,auto_extracted,
중국,1-16,호감도,패션,5점 척도 평균(점),3.82,score(1-5),981.0,"81,82",easyocr+label_targeted_row_lookup,0.9694,auto_extracted,
중국,1-16,호감도,뷰티,5점 척도 평균(점),3.93,score(1-5),746.0,"81,82",easyocr+label_targeted_row_lookup,0.8674,auto_extracted,
중국,1-16,호감도,음식,5점 척도 평균(점),3.72,score(1-5),985.0,"81,82",easyocr+label_targeted_row_lookup,0.7629,auto_extracted,
중국,1-16,호감도,한국어,5점 척도 평균(점),3.95,score(1-5),478.0,"81,82",easyocr+label_targeted_row_lookup,0.7892,auto_extracted,
중국,1-16,호감도,전반적 만족도,5점 척도 평균(점),3.78,score(1-5),2100.0,"81,82",easyocr+label_targeted_row_lookup,0.9979,auto_extracted,
중국,1-33,관심도,,본인 관심도 변화 (1년 전 대비) - 5점 척도 평균(점),3.36,score(1-5),2100.0,116,easyocr+label_targeted_row_lookup,0.6303,auto_extracted,
중국,1-33,관심도,,본인 관심도 변화 (1년 후 예상) - 5점 척도 평균(점),3.37,score(1-5),2100.0,116,easyocr+label_targeted_row_lookup,0.7083,auto_extracted,
중국,1-33,관심도,,자국민 관심도 변화 (1년 전 대비) - 5점 척도 평균(점),3.31,score(1-5),2100.0,116,easyocr+label_targeted_row_lookup,0.9615,auto_extracted,
중국,1-33,관심도,,자국민 관심도 변화 (1년 후 예상) - 5점 척도 평균(점),3.33,score(1-5),2100.0,116,easyocr+label_targeted_row_lookup,0.9537,auto_extracted,
중국,1-33,관심도,,본인 소비지출 의향 변화 (1년 전 대비) - 5점 척도 평균(점),3.15,score(1-5),2100.0,116,easyocr+label_targeted_row_lookup,0.9366,auto_extracted,
중국,1-33,관심도,,본인 소비지출 의향 변화 (1년 후 예상) - 5점 척도 평균(점),3.21,score(1-5),2100.0,116,easyocr+label_targeted_row_lookup,0.7463,auto_extracted,
중국,1-35,인식변화,,매우 부정적으로 변함,1.6,%,2100.0,118,easyocr+label_targeted_row_lookup,0.6176,auto_extracted,
중국,1-35,인식변화,,약간 부정적으로 변함,10.3,%,2100.0,118,easyocr+label_targeted_row_lookup,0.9051,auto_extracted,
중국,1-35,인식변화,,변화 없음,32.5,%,2100.0,118,easyocr+label_targeted_row_lookup,0.6124,auto_extracted,
중국,1-35,인식변화,,약간 긍정적으로 변함,41.6,%,2100.0,118,easyocr+label_targeted_row_lookup,0.8926,auto_extracted,
중국,1-35,인식변화,,매우 긍정적으로 변함,14.0,%,2100.0,118,easyocr+label_targeted_row_lookup,0.9686,auto_extracted,
중국,1-35,인식변화,,5점 척도 평균(점),3.56,score(1-5),2100.0,118,easyocr+label_targeted_row_lookup,0.998,auto_extracted,
중국,1-41,관광경험,,한국 관광 - 구매(방문) 경험률(%),62.2,%,2100.0,121,easyocr+label_targeted_row_lookup,0.8825,auto_extracted,
중국,1-41,관광경험,,한국 관광 - 평균 구매(방문) 횟수(회),1.21,회,2100.0,121,easyocr+label_targeted_row_lookup,0.9916,auto_extracted,
일본,1-16,호감도,드라마,5점 척도 평균(점),3.47,score(1-5),525.0,"141,142",easyocr+label_targeted_row_lookup,0.9997,auto_extracted,
일본,1-16,호감도,예능,5점 척도 평균(점),3.45,score(1-5),290.0,"141,142",easyocr+label_targeted_row_lookup,0.9993,auto_extracted,
일본,1-16,호감도,영화,5점 척도 평균(점),3.54,score(1-5),467.0,"141,142",easyocr+label_targeted_row_lookup,0.9969,auto_extracted,
일본,1-16,호감도,음악,5점 척도 평균(점),3.43,score(1-5),581.0,"141,142",easyocr+label_targeted_row_lookup,0.9985,auto_extracted,
일본,1-16,호감도,애니메이션,5점 척도 평균(점),3.47,score(1-5),205.0,"141,142",easyocr+label_targeted_row_lookup,0.9954,auto_extracted,
일본,1-16,호감도,출판물,5점 척도 평균(점),3.7,score(1-5),173.0,"141,142",easyocr+label_targeted_row_lookup,0.8063,auto_extracted,
일본,1-16,호감도,웹툰,5점 척도 평균(점),3.66,score(1-5),159.0,"141,142",easyocr+label_targeted_row_lookup,0.6071,auto_extracted,
일본,1-16,호감도,게임,5점 척도 평균(점),3.62,score(1-5),267.0,"141,142",easyocr+label_targeted_row_lookup,0.4313,auto_extracted,
일본,1-16,호감도,패션,5점 척도 평균(점),3.75,score(1-5),403.0,"141,142",easyocr+label_targeted_row_lookup,0.5982,auto_extracted,
일본,1-16,호감도,뷰티,5점 척도 평균(점),3.76,score(1-5),412.0,"141,142",easyocr+label_targeted_row_lookup,0.9982,auto_extracted,
일본,1-16,호감도,음식,5점 척도 평균(점),3.73,score(1-5),619.0,"141,142",easyocr+label_targeted_row_lookup,0.9959,auto_extracted,
일본,1-16,호감도,한국어,5점 척도 평균(점),3.56,score(1-5),205.0,"141,142",easyocr+label_targeted_row_lookup,0.5994,auto_extracted,
일본,1-16,호감도,전반적 만족도,5점 척도 평균(점),3.5,score(1-5),1000.0,"141,142",easyocr+label_targeted_row_lookup,0.5384,auto_extracted,
일본,1-33,관심도,,본인 관심도 변화 (1년 전 대비) - 5점 척도 평균(점),3.13,score(1-5),1000.0,176,easyocr+label_targeted_row_lookup,0.999,auto_extracted,
일본,1-33,관심도,,본인 관심도 변화 (1년 후 예상) - 5점 척도 평균(점),3.11,score(1-5),1000.0,176,easyocr+label_targeted_row_lookup,0.9989,auto_extracted,
일본,1-33,관심도,,자국민 관심도 변화 (1년 전 대비) - 5점 척도 평균(점),3.13,score(1-5),1000.0,176,easyocr+label_targeted_row_lookup,0.999,auto_extracted,
일본,1-33,관심도,,자국민 관심도 변화 (1년 후 예상) - 5점 척도 평균(점),3.12,score(1-5),1000.0,176,easyocr+label_targeted_row_lookup,0.9981,auto_extracted,
일본,1-33,관심도,,본인 소비지출 의향 변화 (1년 전 대비) - 5점 척도 평균(점),3.04,score(1-5),1000.0,176,easyocr+label_targeted_row_lookup,0.999,auto_extracted,
일본,1-33,관심도,,본인 소비지출 의향 변화 (1년 후 예상) - 5점 척도 평균(점),3.04,score(1-5),1000.0,176,easyocr+label_targeted_row_lookup,0.999,auto_extracted,
일본,1-35,인식변화,,매우 부정적으로 변함,3.2,%,1000.0,178,easyocr+label_targeted_row_lookup,0.9046,auto_extracted,
일본,1-35,인식변화,,약간 부정적으로 변함,5.0,%,1000.0,178,easyocr+label_targeted_row_lookup,0.9586,auto_extracted,
일본,1-35,인식변화,,변화 없음,54.8,%,1000.0,178,easyocr+label_targeted_row_lookup,0.9189,auto_extracted,
일본,1-35,인식변화,,약간 긍정적으로 변함,26.5,%,1000.0,178,easyocr+label_targeted_row_lookup,1.0,auto_extracted,
일본,1-35,인식변화,,매우 긍정적으로 변함,10.5,%,1000.0,178,easyocr+label_targeted_row_lookup,0.9863,auto_extracted,
일본,1-35,인식변화,,5점 척도 평균(점),3.36,score(1-5),1000.0,178,easyocr+label_targeted_row_lookup,0.9988,auto_extracted,
일본,1-41,관광경험,,한국 관광 - 구매(방문) 경험률(%),26.9,%,1000.0,181,easyocr+label_targeted_row_lookup,1.0,auto_extracted,
일본,1-41,관광경험,,한국 관광 - 평균 구매(방문) 횟수(회),0.54,회,1000.0,181,easyocr+label_targeted_row_lookup,0.6471,auto_extracted,
대만,1-16,호감도,드라마,5점 척도 평균(점),3.78,score(1-5),394.0,"201,202",easyocr+label_targeted_row_lookup,0.9992,auto_extracted,
대만,1-16,호감도,예능,5점 척도 평균(점),3.68,score(1-5),396.0,"201,202",easyocr+label_targeted_row_lookup,0.9995,auto_extracted,
대만,1-16,호감도,영화,5점 척도 평균(점),3.78,score(1-5),396.0,"201,202",easyocr+label_targeted_row_lookup,0.7987,auto_extracted,
대만,1-16,호감도,음악,5점 척도 평균(점),3.83,score(1-5),393.0,"201,202",easyocr+label_targeted_row_lookup,0.8169,auto_extracted,
대만,1-16,호감도,애니메이션,5점 척도 평균(점),3.69,score(1-5),392.0,"201,202",easyocr+label_targeted_row_lookup,0.5855,auto_extracted,
대만,1-16,호감도,출판물,5점 척도 평균(점),3.65,score(1-5),290.0,"201,202",easyocr+label_targeted_row_lookup,0.9998,auto_extracted,
대만,1-16,호감도,웹툰,5점 척도 평균(점),3.82,score(1-5),394.0,"201,202",easyocr+label_targeted_row_lookup,0.9509,auto_extracted,
대만,1-16,호감도,게임,5점 척도 평균(점),3.79,score(1-5),396.0,"201,202",easyocr+label_targeted_row_lookup,0.9983,auto_extracted,
대만,1-16,호감도,패션,5점 척도 평균(점),3.82,score(1-5),393.0,"201,202",easyocr+label_targeted_row_lookup,0.7116,auto_extracted,
대만,1-16,호감도,뷰티,5점 척도 평균(점),3.89,score(1-5),319.0,"201,202",easyocr+label_targeted_row_lookup,0.5918,auto_extracted,
대만,1-16,호감도,음식,5점 척도 평균(점),3.74,score(1-5),401.0,"201,202",easyocr+label_targeted_row_lookup,0.582,auto_extracted,
대만,1-16,호감도,한국어,5점 척도 평균(점),3.87,score(1-5),175.0,"201,202",easyocr+label_targeted_row_lookup,0.5026,auto_extracted,
대만,1-16,호감도,전반적 만족도,5점 척도 평균(점),3.88,score(1-5),750.0,"201,202",easyocr+label_targeted_row_lookup,0.7096,auto_extracted,
대만,1-33,관심도,,본인 관심도 변화 (1년 전 대비) - 5점 척도 평균(점),3.49,score(1-5),750.0,236,easyocr+label_targeted_row_lookup,0.4512,auto_extracted,
대만,1-33,관심도,,본인 관심도 변화 (1년 후 예상) - 5점 척도 평균(점),3.45,score(1-5),750.0,236,easyocr+label_targeted_row_lookup,0.9993,auto_extracted,
대만,1-33,관심도,,자국민 관심도 변화 (1년 전 대비) - 5점 척도 평균(점),3.54,score(1-5),750.0,236,easyocr+label_targeted_row_lookup,0.8484,auto_extracted,
대만,1-33,관심도,,자국민 관심도 변화 (1년 후 예상) - 5점 척도 평균(점),3.51,score(1-5),750.0,236,easyocr+label_targeted_row_lookup,0.9996,auto_extracted,
대만,1-33,관심도,,본인 소비지출 의향 변화 (1년 전 대비) - 5점 척도 평균(점),3.34,score(1-5),750.0,236,easyocr+label_targeted_row_lookup,0.9851,auto_extracted,
대만,1-33,관심도,,본인 소비지출 의향 변화 (1년 후 예상) - 5점 척도 평균(점),3.31,score(1-5),750.0,236,easyocr+label_targeted_row_lookup,0.9969,auto_extracted,
대만,1-35,인식변화,,매우 부정적으로 변함,0.3,%,750.0,238,easyocr+label_targeted_row_lookup,0.9956,auto_extracted,
대만,1-35,인식변화,,약간 부정적으로 변함,1.7,%,750.0,238,easyocr+label_targeted_row_lookup,0.5949,auto_extracted,
대만,1-35,인식변화,,변화 없음,37.0,%,750.0,238,easyocr+label_targeted_row_lookup,0.99,auto_extracted,
대만,1-35,인식변화,,약간 긍정적으로 변함,46.5,%,750.0,238,easyocr+label_targeted_row_lookup,0.9997,auto_extracted,
대만,1-35,인식변화,,매우 긍정적으로 변함,14.5,%,750.0,238,easyocr+label_targeted_row_lookup,0.9999,auto_extracted,
대만,1-35,인식변화,,5점 척도 평균(점),3.73,score(1-5),750.0,238,easyocr+label_targeted_row_lookup,0.5658,auto_extracted,
대만,1-41,관광경험,,한국 관광 - 구매(방문) 경험률(%),55.7,%,750.0,241,easyocr+label_targeted_row_lookup,0.9998,auto_extracted,
대만,1-41,관광경험,,한국 관광 - 평균 구매(방문) 횟수(회),1.33,회,750.0,241,easyocr+label_targeted_row_lookup,0.9973,auto_extracted,
태국,1-16,호감도,드라마,5점 척도 평균(점),4.04,score(1-5),446.0,"261,262",easyocr+label_targeted_row_lookup,0.9987,auto_extracted,
태국,1-16,호감도,예능,5점 척도 평균(점),3.91,score(1-5),456.0,"261,262",easyocr+label_targeted_row_lookup,0.6296,auto_extracted,
태국,1-16,호감도,영화,5점 척도 평균(점),4.01,score(1-5),456.0,"261,262",easyocr+label_targeted_row_lookup,0.9754,auto_extracted,
태국,1-16,호감도,음악,5점 척도 평균(점),3.99,score(1-5),449.0,"261,262",easyocr+label_targeted_row_lookup,0.8959,auto_extracted,
태국,1-16,호감도,애니메이션,5점 척도 평균(점),4.02,score(1-5),447.0,"261,262",easyocr+label_targeted_row_lookup,0.8684,auto_extracted,
태국,1-16,호감도,출판물,5점 척도 평균(점),3.99,score(1-5),369.0,"261,262",easyocr+label_targeted_row_lookup,0.7448,auto_extracted,
태국,1-16,호감도,웹툰,5점 척도 평균(점),4.22,score(1-5),442.0,"261,262",easyocr+label_targeted_row_lookup,0.8169,auto_extracted,
태국,1-16,호감도,게임,5점 척도 평균(점),4.02,score(1-5),437.0,"261,262",easyocr+label_targeted_row_lookup,0.9991,auto_extracted,
태국,1-16,호감도,패션,5점 척도 평균(점),4.03,score(1-5),446.0,"261,262",easyocr+label_targeted_row_lookup,0.906,auto_extracted,
태국,1-16,호감도,뷰티,5점 척도 평균(점),4.1,score(1-5),454.0,"261,262",easyocr+label_targeted_row_lookup,0.9963,auto_extracted,
태국,1-16,호감도,음식,5점 척도 평균(점),3.98,score(1-5),451.0,"261,262",easyocr+label_targeted_row_lookup,0.9989,auto_extracted,
태국,1-16,호감도,한국어,5점 척도 평균(점),4.28,score(1-5),252.0,"261,262",easyocr+label_targeted_row_lookup,0.5583,auto_extracted,
태국,1-16,호감도,전반적 만족도,5점 척도 평균(점),4.07,score(1-5),850.0,"261,262",easyocr+label_targeted_row_lookup,0.9983,auto_extracted,
태국,1-33,관심도,,본인 관심도 변화 (1년 전 대비) - 5점 척도 평균(점),3.69,score(1-5),850.0,296,easyocr+label_targeted_row_lookup,0.7783,auto_extracted,
태국,1-33,관심도,,본인 관심도 변화 (1년 후 예상) - 5점 척도 평균(점),3.65,score(1-5),850.0,296,easyocr+label_targeted_row_lookup,0.5885,auto_extracted,
태국,1-33,관심도,,자국민 관심도 변화 (1년 전 대비) - 5점 척도 평균(점),3.67,score(1-5),850.0,296,easyocr+label_targeted_row_lookup,0.609,auto_extracted,
태국,1-33,관심도,,자국민 관심도 변화 (1년 후 예상) - 5점 척도 평균(점),3.74,score(1-5),850.0,296,easyocr+label_targeted_row_lookup,0.9991,auto_extracted,
