table_id,content_category,raw_item,canonical_item,count
1-17,게임,캐릭터의 성격역할이 개성 있어서,캐릭터의 성계역할이 개성 있어서,16
1-17,게임,사용자 환경이 편리해세단축키  메뉴 회면 구성 등,사용자 환경이 편리해세단축키 메뉴 회면 구성 등,13
1-17,게임,스토리가 짜임새 있고 단단해서,스토리가 짜임새 잇고 탄단해서,13
1-17,게임,좋아하는 스리머가 한국 게임올 자주 소개해서,좋아하는 스트리머가 한국 게임올 자주 소개해서,13
1-17,게임,스토리가 짜임새 잇고 단단해서,스토리가 짜임새 잇고 탄단해서,12
1-17,게임,캐릭터의 성계억할이 개성 있어서,캐릭터의 성계역할이 개성 있어서,10
1-17,게임,흙 한국 프로게이머가 좋아서,한국 프로게이머가 좋아서,9
1-17,게임,흙 한국 게임 동영상 스트리머가 좋아서,한국 게임 동영상 스트리머가 좋아서,8
1-17,게임,복 한국 프로게이머가 좋아서,한국 프로게이머가 좋아서,6
1-17,게임,수 사용자 환경이 편리해세단축키  메뉴 회면 구성 등,사용자 환경이 편리해세단축키 메뉴 회면 구성 등,6
1-17,게임,복 좋아하는 스리어가 한국 게임올 자주 소개해서,좋아하는 스트리머가 한국 게임올 자주 소개해서,6
1-17,게임,좋아하는 스리어가 한국 게임올 자주 소개해서,좋아하는 스트리머가 한국 게임올 자주 소개해서,5
1-17,게임,스토리가 찌임새 있고 탄단해서,스토리가 짜임새 잇고 탄단해서,5
1-17,게임,복 사용자 환경이 편리해세단축키 메뉴 화면 구성 등,사용자 환경이 편리해세단축키 메뉴 회면 구성 등,4
1-17,게임,흙 디른 게p머들과 네트위크름 형성하고 햄 질수 앞,디른 게p머들과 네트위크름 형성하고 햄 질수 앞,4
1-17,게임,다양한  소재 또는 장르름 다리서,다양한 소재 또는 장르름 다리서,4
1-17,게임,수 한국 게임 동영상 스트리머가 좋아서,한국 게임 동영상 스트리머가 좋아서,4
1-17,게임,사용자 환경이 편리해세단축키 메뉴 화면 구성 등,사용자 환경이 편리해세단축키 메뉴 회면 구성 등,4
1-17,게임,복 한국 게임 동영상 스트리머가 좋아서,한국 게임 동영상 스트리머가 좋아서,4
1-17,게임,그래페그림이 좋아서,그래픽그림이 좋아서,4
1-17,게임,그래관그림이 좋아서,그래픽그림이 좋아서,4
1-17,게임,스토리가 짜임새 있고 탄단해서,스토리가 짜임새 잇고 탄단해서,3
1-17,게임,디른 게p미들과 네트위스릎 형성히고 햄 월수 있,디른 게p미들과 네트위스릎 형성하고 햄 월수 있,3
1-17,게임,순 한류스타가 광괴홍보하기 때문에,한류스타가 광괴홍보하기 때문에,2
1-17,게임,위 캐릭터의 성계역할이 개성 있어서,캐릭터의 성계역할이 개성 있어서,2
1-17,게임,위 사용자 환경이 편리해세단축키 메뉴 회면 구성 등,사용자 환경이 편리해세단축키 메뉴 회면 구성 등,2
1-17,게임,흙 좋아하는 스트리머가 한국 게임올 자주 소개해서,좋아하는 스트리머가 한국 게임올 자주 소개해서,2
1-17,게임,디른 게p들과 네트위f릎 형성하고 햄 월수 있서,디른 게p미들과 네트위스릎 형성하고 햄 월수 있,2
1-17,게임,둘 좋이하는 스트리머가 한국 게임올 자주 소개해서,좋아하는 스트리머가 한국 게임올 자주 소개해서,2
1-17,게임,흙 다양한 소재 또는 장르름 다리서,다양한 소재 또는 장르름 다리서,2
1-17,게임,흙 스토리가 짜임새 잇고 탄단해서,스토리가 짜임새 잇고 탄단해서,2
1-17,게임,복 사용자 환경이  편리하세다축키 메뉴 회면 구성 등,사용자 환경이 편리해세단축키 메뉴 회면 구성 등,2
1-17,게임,디른 게p들과 네트위름 형성히고 햄게 월수 앞서,디른 게p들과 네트위f름 형성하고 햄게 월수 앞서,2
1-17,게임,위 한국 프로제이머가 좋아서,한국 프로게이머가 좋아서,2
1-17,게임,좋이하는 스트리머가 한국 게임올 자주 소개해서,좋아하는 스트리머가 한국 게임올 자주 소개해서,2
1-17,게임,사용자 환경이 편리해세단축키  메뉴 화면 구성 등,사용자 환경이 편리해세단축키 메뉴 회면 구성 등,2
1-17,게임,캐릭터의 성격 역할이 개성 있어서,캐릭터의 성계역할이 개성 있어서,2
1-17,게임,둘 한국 프로게이머가 좋아서,한국 프로게이머가 좋아서,2
1-17,게임,한국 게임 동영상 스트리어가 좋아서,한국 게임 동영상 스트리머가 좋아서,2
1-17,게임,스토리가 찌임새 잇고 단탄단해서,스토리가 짜임새 잇고 탄단해서,2
1-17,게임,수 캐릭터의 성계역할이 개성 있어서,캐릭터의 성계역할이 개성 있어서,2
1-17,게임,그래M그림이 좋아서,그래픽그림이 좋아서,2
1-17,게임,사용자 환경이 편리해세단축키 메뉴 회면 구성,사용자 환경이 편리해세단축키 메뉴 회면 구성 등,2
1-17,게임,디른 게p머들과 네트위f름 형성히고 햄 월수 앞,디른 게p머들과 네트위크름 형성하고 햄 질수 앞,2
1-17,게임,둘 한류스타가 광괴홍보하기 때문에,한류스타가 광괴홍보하기 때문에,2
1-17,게임,수 게임 플레이 방식구성이 잘 되어 있어서,게임 플레이 방식구성이 잘 되어 있어서,2
1-17,게임,둘 사용자 환경이 편리해세단축키 메뉴 화면 구성 등,사용자 환경이 편리해세단축키 메뉴 회면 구성 등,2
1-17,게임,한스타가 광고홍보하기 때문에,한류스타가 광괴홍보하기 때문에,2
1-17,게임,디른 게p미들과 네트위f틀 형성하고 햄 월수 있,디른 게p미들과 네트위스릎 형성하고 햄 월수 있,2
1-17,게임,스토리가 짜임새 잎고 단단해서,스토리가 짜임새 잇고 탄단해서,2
1-17,게임,디른 게p들과 네트위크름 형성하고 햄 질수 있서,디른 게p머들과 네트위크름 형성하고 햄 질수 앞,2
1-17,게임,캐릭터의 성계없할이 개성 있어서,캐릭터의 성계역할이 개성 있어서,2
1-17,게임,복 좋아하는 스리머가 한국 게임올 자주 소개해서,좋아하는 스트리머가 한국 게임올 자주 소개해서,2
1-17,게임,순 다양한 소재 또는 장르름 다리서,다양한 소재 또는 장르름 다리서,2
1-17,게임,복 한류스타가 광괴홍보하기 따문에,한류스타가 광괴홍보하기 때문에,2
1-17,게임,힘 좋아하는 스리머가 한국 게임올 자주 소개해서,좋아하는 스트리머가 한국 게임올 자주 소개해서,2
1-17,게임,수 캐릭터의 성격 역할이 개성 있어서,캐릭터의 성계역할이 개성 있어서,2
1-17,게임,한류스타가 광고홍보하기 때문에,한류스타가 광괴홍보하기 때문에,2
1-17,게임,사용자 환경이 편리해세단축키 메뉴 화면 구성,사용자 환경이 편리해세단축키 메뉴 회면 구성 등,2
1-17,게임,힘 스토리가 짜임새 있고 단단해서,순 스토리가 짜임새 잎고 단단해서,2
1-17,게임,디른 게p들과 네트위름 형성하고햄 월수 앞어서,디른 게p들과 네트위f름 형성하고 햄게 월수 앞서,1
1-17,게임,흙 한류스타가 광괴홍보하기 때문에,한류스타가 광괴홍보하기 때문에,1
1-17,게임,디른 게p들과 네트위크름 형성하고햄 월수 앞어서,디른 게p들과 네트위f름 형성하고 햄게 월수 앞서,1
1-17,게임,기타,힘 기타,1
1-17,게임,디른 게p들과 네트위크름 형성하고햄 질수 앞어서,디른 게p머들과 네트위크름 형성하고 햄 질수 앞,1
1-17,게임,흙 좋아하는 스리어가 한국 게임올 자주 소개해서,좋아하는 스트리머가 한국 게임올 자주 소개해서,1
1-17,게임,순,표,1
1-17,게임,수 한스타가 광고홍보하기 때문에,수 한룻스타가 광고하보하기 때문에,1
1-17,게임,복 한류스타가 광괴홍보하기 때문에,한류스타가 광괴홍보하기 때문에,1
1-17,게임,위 숲 사용자 환경이 편리해세단축기  메뉴 회면 구성 등,사용자 환경이 편리해세단축키 메뉴 회면 구성 등,1
1-17,게임,좋아하는 스트리머가 한국 게임을 자주 소개해서,좋아하는 스트리머가 한국 게임올 자주 소개해서,1
1-17,게임,순 사용자 환경이 편리해세단축키_메뉴 회면 구성 등,사용자 환경이 편리해세단축키 메뉴 회면 구성 등,1
1-17,게임,복 중@하늘 스톱리머가 한국 게임올 자주 소개해서,좋아하는 스트리머가 한국 게임올 자주 소개해서,1
1-17,게임,디른 게b들과 네트위f름 형성하고 햄게 질수 있서,디른 게p들과 네트위f름 형성하고 햄게 월수 앞서,1
1-17,게임,디른 게p들과 네트위크름 형성하고 햄 질수 잇서,디른 게p머들과 네트위크름 형성하고 햄 질수 앞,1
1-17,게임,흙 캐릭터의 성계역할이 개성 있어서,캐릭터의 성계역할이 개성 있어서,1
1-17,게임,수 스토리가 찌임새 있고 탄단해서,흙 스토리가 찌임새 있고 탄단해서,1
1-17,게임,다양한 소재 또는 장르틀 디팅서,수 다양한 소재 또는 장르틀 디팅서,1
1-17,게임,디른 게p들과 네트위럴름 형하고햄 질수 왜,디른 게p들과 네트위치름 형하고햄 질수 왜,1
1-17,게임,디른 게p머들과 네트위f름 형성히고 햄게 월수 앞서,디른 게p들과 네트위f름 형성하고 햄게 월수 앞서,1
1-17,게임,복 다양한 소재 또는 장르록 다리서,다양한 소재 또는 장르름 다리서,1
1-17,드라마,영상매연출력 등 작품성이 좋아서,영상미 연출력 등 작품성이 좋아서,21
1-17,드라마,표현 방식이 과감 독특생생해서,표현 방식이 과감독특생생해서,20
1-17,드라마,드 한국어에 대한 관심 및 학습 수요가 증가해서,한국어에 대한 관심 및 학습 수요가 증가해서,18
1-17,드라마,스토리가 짜임새 있고 단단해서,스토리가 짜임새 잇고 단단해서,14
1-17,드라마,불평등양극화 등 사회 문제름 현실적으로 표현해서,불평등양국화 등 사회 문제름 현실적으로 표현해서,12
1-17,드라마,라 기타,기타,10
1-17,드라마,f 기타,기타,10
1-17,드라마,한국 생활문회름 간접 경험하거나 이해할 수 있어서,한국 생활문회틀 간접 경험하거나 이해할 수 있어서,8
1-17,드라마,다양한  소재 또는 장르름 다리서,다양한 소재 또는 장르름 다리서,8
1-17,드라마,스토리가 짜임새 잇고 탄단해서,스토리가 짜임새 잇고 단단해서,7
1-17,드라마,마 연애 스토리가 순수해서,연애 스토리가 순수해서,6
1-17,드라마,류 한국어에 대한 관심 및 학습 수요가 증가해서,한국어에 대한 관심 및 학습 수요가 증가해서,6
1-17,드라마,흙 배우의 외모가 매력적이어서,배우의 외모가 매력적이어서,6
1-17,드라마,흙 표현 방식이 과감독특생생해서,표현 방식이 과감독특생생해서,5
1-17,드라마,패션부티 등 한국 최신 트럭드록 볼 수 있어서,패센부티 등 한국 최신 트렌드록 볼 수 있어서,5
1-17,드라마,한국 생활문회지 간접 경험하거나 이해할 수 있어서,한국 생활문회틀 간접 경험하거나 이해할 수 있어서,5
1-17,드라마,한국어에 대한  관심 및 학습 수요가 증가해서,한국어에 대한 관심 및 학습 수요가 증가해서,4
1-17,드라마,마 스토리가 짜임새 있고 단단해서,스토리가 짜임새 잇고 단단해서,4
1-17,드라마,패션부티 등 한국 최신 트렌드록 볼 수 있어서,패센부티 등 한국 최신 트렌드록 볼 수 있어서,4
1-17,드라마,패센부티 등 한국 최신 트랜드록 볼 수 있어서,패센부티 등 한국 최신 트렌드록 볼 수 있어서,4
1-17,드라마,흙 선호하는 배우가 출연해서,선호하는 배우가 출연해서,4
1-17,드라마,흙 온라인모바일 플렉품올 통해 접할 수 있어서,온라인모바일 플렉품올 통해 접할 수 있어서,4
1-17,드라마,복 선호하는 배우가 출연해서,선호하는 배우가 출연해서,4
1-17,드라마,불평등양극화 등 사회 문제록 현실적으로 표현해서,불평등양국화 등 사회 문제름 현실적으로 표현해서,4
1-17,드라마,영상미연출력 등 작품성이 좋아서,영상미 연출력 등 작품성이 좋아서,4
1-17,드라마,흙 배우의 연기력이 뛰어나서,배우의 연기력이 뛰어나서,3
1-17,드라마,라 스토리가 짜임새 잇고 탄단해서,스토리가 짜임새 잇고 단단해서,2
1-17,드라마,복 불평등양국화 등 시회 문제틀 현실적으로 표현해서,불평등양국화 등 사회 문제름 현실적으로 표현해서,2
1-17,드라마,드 온라인모바일 플렉품올 통해 접할 수 있어서,온라인모바일 플렉품올 통해 접할 수 있어서,2
1-17,드라마,마 스토리가 짜임새 잇고 탄단해서,스토리가 짜임새 잇고 단단해서,2
1-17,드라마,패센분티 등 한국 최신 트럭드록 볼 수 있어서,패센부티 등 한국 최신 트렌드록 볼 수 있어서,2
1-17,드라마,온라인모바일 플라품올 통해 접할 수 있어서,온라인모바일 플렉품올 통해 접할 수 있어서,2
1-17,드라마,라 배우의 외모가 매력적이어서,배우의 외모가 매력적이어서,2
1-17,드라마,순 한국 생활문회틀 간접 경험하거나 이해할 수 있어서,한국 생활문회틀 간접 경험하거나 이해할 수 있어서,2
1-17,드라마,출 표현 방식이 과감 독특생생해서,표현 방식이 과감독특생생해서,2
1-17,드라마,복 패센볶티 등 한국 최신 트럭드록 볼 수 있어서 불평등양극화 등 사회 문제름 현실적으로 표현해서,불평등양국화 등 사회 문제름 현실적으로 표현해서,2
1-17,드라마,온라인모바일 플쨌품올 통해 접할 수 있어서,온라인모바일 플렉품올 통해 접할 수 있어서,2
1-17,드라마,흙 다양한  소재 또는 장르름 다퀴서,다양한 소재 또는 장르름 다리서,2
1-17,드라마,드 영상미연출력 등 작품성이 좋아서,영상미 연출력 등 작품성이 좋아서,2
1-17,드라마,올 온라인묘바일 플렉몸올 통해 접할 수 있어서,온라인모바일 플렉품올 통해 접할 수 있어서,2
1-17,드라마,순 한국 생활문회지 간접 경험하거나 이해할 수 있어서,한국 생활문회틀 간접 경험하거나 이해할 수 있어서,2
1-17,드라마,위 표현 방식이 과감독특생생해서,표현 방식이 과감독특생생해서,2
1-17,드라마,복 불평등양국화 등 사회 문제틀 현실적-로 표현해서,불평등양국화 등 사회 문제름 현실적으로 표현해서,2
1-17,드라마,드 패센부티 등 한국 최신 트렌드록 볼 수 있어서,패센부티 등 한국 최신 트렌드록 볼 수 있어서,2
1-17,드라마,라 한국어에 대한 관심 및 학습 수요가 증가해서,한국어에 대한 관심 및 학습 수요가 증가해서,2
1-17,드라마,슈 표현 방식이 과감 독특생생해서,표현 방식이 과감독특생생해서,2
1-17,드라마,복 패센부티 등 한국 최신 트럭드록 볼 수 있어서,패센부티 등 한국 최신 트렌드록 볼 수 있어서,2
1-17,드라마,흙 영상미연출력 등 작품성이 좋아서,영상미 연출력 등 작품성이 좋아서,2
1-17,드라마,드 온라인모바일 플랍품올 통해 접할 수 있어서,온라인모바일 플렉품올 통해 접할 수 있어서,2
1-17,드라마,복= 영상미 연출력 등 작품성이 좋아서,영상미 연출력 등 작품성이 좋아서,2
1-17,드라마,스토리가 짜임새 잎고 단단해서,스토리가 짜임새 잇고 단단해서,2
1-17,드라마,드 불평등양극화 등 사회 문제틀 현실적으로 표현해서,불평등양국화 등 사회 문제름 현실적으로 표현해서,2
1-17,드라마,유 한국어예 대한 관심 및 학습 수요가 증가해서,한국어에 대한 관심 및 학습 수요가 증가해서,2
