country,table_id,indicator,content_category,item,rank_group,value,unit,base,source_page,extraction_method,ocr_confidence,verification_status,notes,raw_item,label_confidence
중국,1-17,호감요인,드라마,스토리가 짜임새 잇고 단단해서,1순위,17.2,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9605,auto_extracted,,라 스토리가 짜임새 잇고 탄단해서,high_confidence
중국,1-17,호감요인,드라마,스토리가 짜임새 잇고 단단해서,1+2순위(중복),30.6,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9968,auto_extracted,,라 스토리가 짜임새 잇고 탄단해서,high_confidence
중국,1-17,호감요인,드라마,배우의 외모가 매력적이어서,1순위,10.8,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9998,auto_extracted,,배우의 외모가 매력적이어서,high_confidence
중국,1-17,호감요인,드라마,배우의 외모가 매력적이어서,1+2순위(중복),20.7,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.5582,auto_extracted,,배우의 외모가 매력적이어서,high_confidence
중국,1-17,호감요인,드라마,연애 스토리가 순수해서,1순위,9.6,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9993,auto_extracted,,연애 스토리가 순수해서,high_confidence
중국,1-17,호감요인,드라마,연애 스토리가 순수해서,1+2순위(중복),17.4,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9991,auto_extracted,,연애 스토리가 순수해서,high_confidence
중국,1-17,호감요인,드라마,한국 생활문회틀 간접 경험하거나 이해할 수 있어서,1순위,9.2,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9996,auto_extracted,,한국 생활문회틀 간접 경험하거나 이해할 수 있어서,high_confidence
중국,1-17,호감요인,드라마,한국 생활문회틀 간접 경험하거나 이해할 수 있어서,1+2순위(중복),16.0,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,1.0,auto_extracted,,한국 생활문회틀 간접 경험하거나 이해할 수 있어서,high_confidence
중국,1-17,호감요인,드라마,선호하는 배우가 출연해서,1순위,8.6,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9999,auto_extracted,,선호하는 배우가 출연해서,high_confidence
중국,1-17,호감요인,드라마,선호하는 배우가 출연해서,1+2순위(중복),16.0,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,1.0,auto_extracted,,선호하는 배우가 출연해서,high_confidence
중국,1-17,호감요인,드라마,다양한 소재 또는 장르름 다리서,1순위,8.6,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9999,auto_extracted,,다양한 소재 또는 장르름 다리서,high_confidence
중국,1-17,호감요인,드라마,다양한 소재 또는 장르름 다리서,1+2순위(중복),17.9,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9963,auto_extracted,,다양한 소재 또는 장르름 다리서,high_confidence
중국,1-17,호감요인,드라마,표현 방식이 과감독특생생해서,1순위,8.2,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9998,auto_extracted,,표현 방식이 과감독특생생해서,high_confidence
중국,1-17,호감요인,드라마,표현 방식이 과감독특생생해서,1+2순위(중복),16.4,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9999,auto_extracted,,표현 방식이 과감독특생생해서,high_confidence
중국,1-17,호감요인,드라마,수 패센부티 등 하` 최산 튼린스들 불 수 있어서,1순위,6.6,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9995,manual_review,,수 패센부티 등 하` 최산 튼린스들 불 수 있어서,low_confidence
중국,1-17,호감요인,드라마,배우의 연기력이 뛰어나서,1순위,6.3,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9948,auto_extracted,,배우의 연기력이 뛰어나서,high_confidence
중국,1-17,호감요인,드라마,배우의 연기력이 뛰어나서,1+2순위(중복),12.9,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9981,auto_extracted,,배우의 연기력이 뛰어나서,high_confidence
중국,1-17,호감요인,드라마,불평등양국화 등 사회 문제름 현실적으로 표현해서,1순위,5.0,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9992,auto_extracted,,복 불평등양국화 등 시회 문제틀 현실적으로 표현해서,high_confidence
중국,1-17,호감요인,드라마,불평등양국화 등 사회 문제름 현실적으로 표현해서,1+2순위(중복),11.1,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9973,auto_extracted,,복 불평등양국화 등 시회 문제틀 현실적으로 표현해서,high_confidence
중국,1-17,호감요인,드라마,영상미 연출력 등 작품성이 좋아서,1순위,4.4,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9984,auto_extracted,,영상매연출력 등 작품성이 좋아서,high_confidence
중국,1-17,호감요인,드라마,영상미 연출력 등 작품성이 좋아서,1+2순위(중복),9.5,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9997,auto_extracted,,영상매연출력 등 작품성이 좋아서,high_confidence
중국,1-17,호감요인,드라마,한국어에 대한 관심 및 학습 수요가 증가해서,1순위,2.7,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.5625,auto_extracted,,한국어에 대한 관심 및 학습 수요가 증가해서,high_confidence
중국,1-17,호감요인,드라마,한국어에 대한 관심 및 학습 수요가 증가해서,1+2순위(중복),5.3,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9986,auto_extracted,,한국어에 대한 관심 및 학습 수요가 증가해서,high_confidence
중국,1-17,호감요인,드라마,온라인모바일 플렉품올 통해 접할 수 있어서,1순위,2.6,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9999,auto_extracted,,드 온라인모바일 플렉품올 통해 접할 수 있어서,high_confidence
중국,1-17,호감요인,드라마,온라인모바일 플렉품올 통해 접할 수 있어서,1+2순위(중복),5.6,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.842,auto_extracted,,드 온라인모바일 플렉품올 통해 접할 수 있어서,high_confidence
중국,1-17,호감요인,드라마,기타,1순위,0.2,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9658,auto_extracted,,기타,high_confidence
중국,1-17,호감요인,드라마,기타,1+2순위(중복),0.2,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.725,auto_extracted,,기타,high_confidence
중국,1-17,호감요인,드라마,패센부티 등 한국 최신 트렌드록 볼 수 있어서,1+2순위(중복),14.4,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9991,manual_review,,흙 패센분티 등 한국 최신 트럭드록 볼 수 있어서,high_confidence
중국,1-17,호감요인,예능,재미있는 게임 및 소재름 사용해서,1순위,22.1,%,978.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.999,auto_extracted,,재미있는 게임 및 소재름 사용해서,high_confidence
중국,1-17,호감요인,예능,재미있는 게임 및 소재름 사용해서,1+2순위(중복),39.0,%,978.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9995,auto_extracted,,재미있는 게임 및 소재름 사용해서,high_confidence
중국,1-17,호감요인,예능,프로그램 큰센트 및 포패이 좋아서,1순위,12.1,%,978.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.5749,auto_extracted,,프로그램 큰센트 및 포매이 좋아서,high_confidence
중국,1-17,호감요인,예능,프로그램 큰센트 및 포패이 좋아서,1+2순위(중복),21.7,%,978.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.6225,auto_extracted,,프로그램 큰센트 및 포매이 좋아서,high_confidence
중국,1-17,호감요인,예능,출연진의 캐릭터 및 역할 등이 개성 있어서,1순위,11.1,%,978.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9973,auto_extracted,,출연진의 캐릭터 및 역할 등이 개성 있어서,high_confidence
중국,1-17,호감요인,예능,출연진의 캐릭터 및 역할 등이 개성 있어서,1+2순위(중복),21.4,%,978.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9999,auto_extracted,,출연진의 캐릭터 및 역할 등이 개성 있어서,high_confidence
중국,1-17,호감요인,예능,한국 생활문회틀 간접 경험하거나 이해할 수 있어서,1순위,9.6,%,978.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9983,auto_extracted,,한국 생활문회틀 간접 경험하거나 이해할 수 있어서,high_confidence
중국,1-17,호감요인,예능,한국 생활문회틀 간접 경험하거나 이해할 수 있어서,1+2순위(중복),22.2,%,978.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.87,auto_extracted,,한국 생활문회틀 간접 경험하거나 이해할 수 있어서,high_confidence
중국,1-17,호감요인,예능,출연진들 간의 팀위크가 몸보여서,1순위,8.8,%,978.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9999,auto_extracted,,출연진들 간의 팀위크가 돌보여서,high_confidence
중국,1-17,호감요인,예능,출연진들 간의 팀위크가 몸보여서,1+2순위(중복),16.1,%,978.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9999,auto_extracted,,출연진들 간의 팀위크가 돌보여서,high_confidence
중국,1-17,호감요인,예능,자막 그래픽 합성  회면구성 등 편집이 재미있어서,1순위,8.0,%,978.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9999,auto_extracted,,자막 그래픽 합성 회면구성 등 편집이 재미있어서,high_confidence
중국,1-17,호감요인,예능,자막 그래픽 합성  회면구성 등 편집이 재미있어서,1+2순위(중복),16.4,%,978.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9995,auto_extracted,,자막 그래픽 합성 회면구성 등 편집이 재미있어서,high_confidence
중국,1-17,호감요인,예능,선호하는 스타가 MC 및 출연진으로 등장해서,1순위,7.9,%,978.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.7461,auto_extracted,,선호하는 스타가 MC 및 출연진으로 등장해서,high_confidence
중국,1-17,호감요인,예능,선호하는 스타가 MC 및 출연진으로 등장해서,1+2순위(중복),15.4,%,978.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9997,auto_extracted,,선호하는 스타가 MC 및 출연진으로 등장해서,high_confidence
중국,1-17,호감요인,예능,감동적이거나 힘림되는 스토리가 있어서,1순위,6.3,%,978.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9998,auto_extracted,,감동적이거나 헬림되는 스토리가 있어서,high_confidence
중국,1-17,호감요인,예능,감동적이거나 힘림되는 스토리가 있어서,1+2순위(중복),11.8,%,978.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.999,auto_extracted,,감동적이거나 헬림되는 스토리가 있어서,high_confidence
중국,1-17,호감요인,예능,온라인모바일 플렉품올 통해 접할 수 있어서,1순위,4.5,%,978.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9951,auto_extracted,,온라인모바일 플렉품올 통해 접할 수 있어서,high_confidence
중국,1-17,호감요인,예능,온라인모바일 플렉품올 통해 접할 수 있어서,1+2순위(중복),8.8,%,978.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9999,auto_extracted,,온라인모바일 플렉품올 통해 접할 수 있어서,high_confidence
중국,1-17,호감요인,예능,기타,1순위,0.2,%,978.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9998,auto_extracted,,기타,high_confidence
중국,1-17,호감요인,예능,기타,1+2순위(중복),0.3,%,978.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.5435,auto_extracted,,기타,high_confidence
중국,1-17,호감요인,영화,화 스토리가 짜임새 잇고 탄단해서,1순위,13.9,%,88.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9697,auto_extracted,,화 스토리가 짜임새 잇고 탄단해서,low_confidence
중국,1-17,호감요인,영화,화 스토리가 짜임새 잇고 탄단해서,1+2순위(중복),28.0,%,88.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,1.0,auto_extracted,,화 스토리가 짜임새 잇고 탄단해서,low_confidence
중국,1-17,호감요인,영화,표현 방식이 사실적이어서,1순위,11.1,%,88.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9999,auto_extracted,,표현 방식이 사실적이어서,high_confidence
중국,1-17,호감요인,영화,표현 방식이 사실적이어서,1+2순위(중복),21.2,%,88.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9999,auto_extracted,,표현 방식이 사실적이어서,high_confidence
중국,1-17,호감요인,영화,다양한 소재 또는 장르름 다리서,1순위,10.6,%,88.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9998,auto_extracted,,다양한 소재 또는 장르름 다리서,high_confidence
중국,1-17,호감요인,영화,다양한 소재 또는 장르름 다리서,1+2순위(중복),18.8,%,88.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.7927,auto_extracted,,다양한 소재 또는 장르름 다리서,high_confidence
중국,1-17,호감요인,영화,배우의 외모가 매력적이어서,1순위,9.3,%,88.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9954,auto_extracted,,배우의 외모가 매력적이어서,high_confidence
중국,1-17,호감요인,영화,배우의 외모가 매력적이어서,1+2순위(중복),17.5,%,88.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9999,auto_extracted,,배우의 외모가 매력적이어서,high_confidence
중국,1-17,호감요인,영화,영상미 연출력 등 작품성이 좋아서,1순위,8.1,%,88.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9999,manual_review,,영상매연출력 등 작품성이 좋아서,high_confidence
중국,1-17,호감요인,영화,한국 생활문회틀 간접 경험하거나 이해할 수 있어서,1순위,7.6,%,88.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9969,auto_extracted,,한국 생활문회틀 간접 경험하거나 이해할 수 있어서,high_confidence
중국,1-17,호감요인,영화,한국 생활문회틀 간접 경험하거나 이해할 수 있어서,1+2순위(중복),13.8,%,88.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9994,auto_extracted,,한국 생활문회틀 간접 경험하거나 이해할 수 있어서,high_confidence
중국,1-17,호감요인,영화,배우의 연기력이 뛰어나서,1순위,7.4,%,88.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.8074,auto_extracted,,배우의 연기력이 뛰어나서,high_confidence
중국,1-17,호감요인,영화,배우의 연기력이 뛰어나서,1+2순위(중복),14.6,%,88.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9769,auto_extracted,,배우의 연기력이 뛰어나서,high_confidence
중국,1-17,호감요인,영화,선호하는 배우가 출연해서,1순위,6.8,%,88.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.6424,auto_extracted,,수 선호하는 배우가 출연해서,high_confidence
중국,1-17,호감요인,영화,선호하는 배우가 출연해서,1+2순위(중복),13.1,%,88.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9981,auto_extracted,,수 선호하는 배우가 출연해서,high_confidence
중국,1-17,호감요인,영화,패센부티 등 한국 최신 트렌드록 볼 수 있어서,1순위,6.2,%,88.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.999,auto_extracted,,패센분티 등 한국 최신 트렌드록 볼 수 있어서,high_confidence
중국,1-17,호감요인,영화,패센부티 등 한국 최신 트렌드록 볼 수 있어서,1+2순위(중복),12.0,%,88.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9887,auto_extracted,,패센분티 등 한국 최신 트렌드록 볼 수 있어서,high_confidence
중국,1-17,호감요인,영화,불평등양국화 등 사회 문제름 현실적으로 표현해서,1순위,6.0,%,88.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9978,auto_extracted,,출 불평등양극화 등 사회 문제름 현실적으로 표현해서,high_confidence
중국,1-17,호감요인,영화,불평등양국화 등 사회 문제름 현실적으로 표현해서,1+2순위(중복),13.2,%,88.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9435,auto_extracted,,출 불평등양극화 등 사회 문제름 현실적으로 표현해서,high_confidence
중국,1-17,호감요인,영화,국제 영화제 수상으로 관심이 생겨서,1순위,4.4,%,88.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9984,auto_extracted,,복 국제 영화제 수상으로 관심이 생겨서,high_confidence
중국,1-17,호감요인,영화,국제 영화제 수상으로 관심이 생겨서,1+2순위(중복),8.8,%,88.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9688,auto_extracted,,복 국제 영화제 수상으로 관심이 생겨서,high_confidence
중국,1-17,호감요인,영화,온라인모바일 플렉품올 통해 접할 수 있어서,1순위,3.7,%,88.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9974,auto_extracted,,온라인모바일 플렉패올 통해 접할 수 있어서,high_confidence
중국,1-17,호감요인,영화,온라인모바일 플렉품올 통해 접할 수 있어서,1+2순위(중복),6.4,%,88.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9998,auto_extracted,,온라인모바일 플렉패올 통해 접할 수 있어서,high_confidence
