country,culture_experience_rate_pct,visit_intention_positive_pct,observed_gap_pct_point,gap_tier,base_type,comparability
카자흐스탄,83.15,17.09,66.06,Gap_큼(상위3분위),"전체 응답자(잠재방한객조사 일반외국인, n=16,360)",direct_within_survey
러시아,77.17,14.51,62.66,Gap_큼(상위3분위),"전체 응답자(잠재방한객조사 일반외국인, n=16,360)",direct_within_survey
태국,90.72,36.6,54.12,Gap_큼(상위3분위),"전체 응답자(잠재방한객조사 일반외국인, n=16,360)",direct_within_survey
미국,68.69,15.1,53.59,Gap_큼(상위3분위),"전체 응답자(잠재방한객조사 일반외국인, n=16,360)",direct_within_survey
튀르키예,79.16,25.67,53.49,Gap_큼(상위3분위),"전체 응답자(잠재방한객조사 일반외국인, n=16,360)",direct_within_survey
멕시코,86.33,37.18,49.15,Gap_큼(상위3분위),"전체 응답자(잠재방한객조사 일반외국인, n=16,360)",direct_within_survey
인도,91.77,43.45,48.32,Gap_큼(상위3분위),"전체 응답자(잠재방한객조사 일반외국인, n=16,360)",direct_within_survey
브라질,78.68,31.14,47.54,Gap_중간(중위3분위),"전체 응답자(잠재방한객조사 일반외국인, n=16,360)",direct_within_survey
독일,59.15,13.14,46.01,Gap_중간(중위3분위),"전체 응답자(잠재방한객조사 일반외국인, n=16,360)",direct_within_survey
프랑스,60.64,15.16,45.48,Gap_중간(중위3분위),"전체 응답자(잠재방한객조사 일반외국인, n=16,360)",direct_within_survey
캐나다,62.74,17.34,45.4,Gap_중간(중위3분위),"전체 응답자(잠재방한객조사 일반외국인, n=16,360)",direct_within_survey
인도네시아,95.71,50.36,45.35,Gap_중간(중위3분위),"전체 응답자(잠재방한객조사 일반외국인, n=16,360)",direct_within_survey
말레이시아,91.16,45.92,45.25,Gap_중간(중위3분위),"전체 응답자(잠재방한객조사 일반외국인, n=16,360)",direct_within_survey
UAE,93.22,47.98,45.24,Gap_중간(중위3분위),"전체 응답자(잠재방한객조사 일반외국인, n=16,360)",direct_within_survey
사우디아라비아,87.16,42.06,45.1,Gap_중간(중위3분위),"전체 응답자(잠재방한객조사 일반외국인, n=16,360)",direct_within_survey
호주,65.42,21.13,44.28,Gap_중간(중위3분위),"전체 응답자(잠재방한객조사 일반외국인, n=16,360)",direct_within_survey
중국,86.63,42.93,43.7,Gap_작음(하위3분위),"전체 응답자(잠재방한객조사 일반외국인, n=16,360)",direct_within_survey
필리핀,97.3,55.39,41.91,Gap_작음(하위3분위),"전체 응답자(잠재방한객조사 일반외국인, n=16,360)",direct_within_survey
영국,58.58,17.26,41.32,Gap_작음(하위3분위),"전체 응답자(잠재방한객조사 일반외국인, n=16,360)",direct_within_survey
싱가포르,92.74,51.46,41.27,Gap_작음(하위3분위),"전체 응답자(잠재방한객조사 일반외국인, n=16,360)",direct_within_survey
일본,59.62,19.85,39.77,Gap_작음(하위3분위),"전체 응답자(잠재방한객조사 일반외국인, n=16,360)",direct_within_survey
베트남,98.03,62.67,35.36,Gap_작음(하위3분위),"전체 응답자(잠재방한객조사 일반외국인, n=16,360)",direct_within_survey
대만,90.76,58.22,32.54,Gap_작음(하위3분위),"전체 응답자(잠재방한객조사 일반외국인, n=16,360)",direct_within_survey
