pair,subset,n,pearson_r,pearson_p,spearman_r,spearman_p,direction
Direct_Gap(E1A-1-B5B-1) vs 한류_관심_부재,전체_23개국,23,-0.14,0.5241,-0.1107,0.6152,음(-)의 방향
Direct_Gap(E1A-1-B5B-1) vs 낮은_한국_인지도,전체_23개국,23,0.4468,0.0326,0.4259,0.0427,양(+)의 방향
Direct_Gap(E1A-1-B5B-1) vs 부정적_한국_이미지,전체_23개국,23,-0.4198,0.0461,-0.2125,0.3304,음(-)의 방향
Direct_Gap(E1A-1-B5B-1) vs 불편한_언어소통,전체_23개국,23,-0.2296,0.292,-0.1858,0.3961,음(-)의 방향
Direct_Gap(E1A-1-B5B-1) vs 여행경비_물가,전체_23개국,23,0.5103,0.0128,0.4447,0.0335,양(+)의 방향
Direct_Gap(E1A-1-B5B-1) vs 비자_출입국_절차,전체_23개국,23,0.1277,0.5614,0.297,0.1687,양(+)의 방향
Direct_Gap(E1A-1-B5B-1) vs 장거리_비행,전체_23개국,23,0.018,0.9349,0.1512,0.4911,뚜렷한 방향 없음(거의 0)
Direct_Gap(E1A-1-B5B-1) vs 불편한_종교환경,전체_23개국,23,-0.0574,0.7946,0.0257,0.9073,음(-)의 방향
Direct_Gap(E1A-1-B5B-1) vs 한류_관심_부재,소표본4개국_제외(n=19),19,-0.113,0.645,-0.1421,0.5617,음(-)의 방향
Direct_Gap(E1A-1-B5B-1) vs 낮은_한국_인지도,소표본4개국_제외(n=19),19,0.5107,0.0254,0.5175,0.0232,양(+)의 방향
Direct_Gap(E1A-1-B5B-1) vs 부정적_한국_이미지,소표본4개국_제외(n=19),19,-0.5283,0.02,-0.3667,0.1226,음(-)의 방향
Direct_Gap(E1A-1-B5B-1) vs 불편한_언어소통,소표본4개국_제외(n=19),19,-0.1367,0.5767,-0.0351,0.8866,음(-)의 방향
Direct_Gap(E1A-1-B5B-1) vs 여행경비_물가,소표본4개국_제외(n=19),19,0.6643,0.0019,0.6737,0.0016,양(+)의 방향
Direct_Gap(E1A-1-B5B-1) vs 비자_출입국_절차,소표본4개국_제외(n=19),19,0.5422,0.0165,0.5105,0.0255,양(+)의 방향
Direct_Gap(E1A-1-B5B-1) vs 장거리_비행,소표본4개국_제외(n=19),19,0.2737,0.2569,0.393,0.096,양(+)의 방향
Direct_Gap(E1A-1-B5B-1) vs 불편한_종교환경,소표본4개국_제외(n=19),19,0.0157,0.9493,0.1596,0.5138,뚜렷한 방향 없음(거의 0)
Direct_Gap(E1A-1-B5B-1) vs Conditional_Gap(E4-1-E4-3),전체_23개국,23,0.3109,0.1488,0.3221,0.1339,양(+)의 방향
Direct_Gap(E1A-1-B5B-1) vs Conditional_Gap(E4-1-E4-3),소표본4개국_제외(n=19),19,0.1962,0.4208,0.1807,0.4591,양(+)의 방향
