source_file,survey_type,table_code,table_title,base,country,country_std,category,response_option,sample_n,sample_n_raw,value,unit
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,전체,전체,전체,"개인 및 인플루언서가 제작한 짧은 이미지(틱톡, 인스타그램 릴스, 유튜브 쇼츠 등)",16360.0,(16360),41.39346973260616,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,전체,전체,전체,음식/식문화,16360.0,(16360),40.720547365190676,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,전체,전체,전체,"뉴스, 영화, 드라마, 다큐멘터리 등 대중 매체",16360.0,(16360),35.96263859255451,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,전체,전체,전체,"가족, 친구, 지인 등 주변인 추천",16360.0,(16360),34.891177907339795,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,전체,전체,전체,관광지/관광 명소,16360.0,(16360),34.265970444337114,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,전체,전체,전체,"유명 인플루언서, 연예인 등의 여행 후기",16360.0,(16360),31.580538847902833,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,전체,전체,전체,전통문화/역사,16360.0,(16360),31.01980970380328,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,전체,전체,전체,자연 경관,16360.0,(16360),30.601187031662143,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,전체,전체,전체,"음악, 영화, 드라마 등 문화콘텐츠/연예인",16360.0,(16360),27.19226287667643,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,전체,전체,전체,관광 관련 공공기관이 제작한 국가 브랜드 홍보 영상,16360.0,(16360),23.80145261340876,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,전체,전체,전체,계절/기후,16360.0,(16360),21.677998243776795,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,전체,전체,전체,해당 국가에서만 판매하는 상품 쇼핑,16360.0,(16360),19.257476330888718,%
