country,table_id,indicator,content_category,item,rank_group,value,unit,base,source_page,extraction_method,ocr_confidence,verification_status,notes
중국,1-17,호감요인,드라마,수 패센부티 등 하` 최산 튼린스들 불 수 있어서,1순위,6.6,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9995,manual_review,
중국,1-17,호감요인,드라마,흙 패센분티 등 한국 최신 트럭드록 볼 수 있어서,1+2순위(중복),14.4,%,990.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9991,manual_review,
중국,1-17,호감요인,영화,영상매연출력 등 작품성이 좋아서,1순위,8.1,%,88.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9999,manual_review,
중국,1-17,호감요인,영화,기타,1+2순위(중복),0.1,%,88.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9897,manual_review,
중국,1-17,호감요인,음악,패션분티 등 한국 최신 트렌드틀 볼 수 있어서,1순위,8.1,%,989.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9996,manual_review,
중국,1-17,호감요인,음악,패센뷰티 등 한국 최신 트럭드록 볼 수 있어서,1+2순위(중복),14.3,%,989.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9596,manual_review,
중국,1-17,호감요인,음악,남성 여성,1+2순위(중복),10.0,%,989.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9397,manual_review,
중국,1-17,호감요인,출판물,인기 있는 한류 존렌츠의 원작인 경우가 많아서,1순위,10.4,%,501.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9998,manual_review,
중국,1-17,호감요인,출판물,캐릭터의 성계역할이 마음에 들어서,1순위,10.0,%,501.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9817,manual_review,
중국,1-17,호감요인,출판물,슈 E양하락켓물통해고되 _햇,1순위,8.0,%,501.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9999,manual_review,
중국,1-17,호감요인,출판물,한국의 최신 트렌드록 접할 수 있어서,1+2순위(중복),18.8,%,501.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.7927,manual_review,
중국,1-17,호감요인,출판물,흙 다양한 소재 또는 장르름 다리서,1+2순위(중복),15.0,%,501.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.997,manual_review,
중국,1-17,호감요인,웹툰,순 스토리 전개와 장면 전환이 빨라서,1순위,7.3,%,735.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9761,manual_review,
중국,1-17,호감요인,게임,디른 게p들과 네트위름 형성하고햄 월수 앞어서,1순위,9.3,%,741.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9954,manual_review,
중국,1-17,호감요인,게임,스토리가 짜임새 있고 탄단해서,1순위,8.3,%,741.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.5479,manual_review,
중국,1-17,호감요인,게임,수 한류스타가 평고홍보하기 때문예,1순위,7.6,%,741.0,"83,84,85,86,87,88",easyocr+ranked_item_row_grouping,0.9989,manual_review,
