check_type,country,table_id,page,label,expected_value,verification_status,notes,n_ocr_boxes_on_page
numeric_value,중국,1-16,82,호감도-전반적만족도-전체-5점척도평균,3.78,exact_match,,564
numeric_value,중국,1-16,82,호감도-전반적만족도-BASE,"2,100",found_as_substring,"OCR 텍스트 내 포함: '(2,100)'",564
numeric_value,중국,1-33,116,관심도-본인관심도변화(1년전대비)-전체-5점척도평균,3.36,exact_match,,521
numeric_value,중국,1-35,118,인식변화-전체-5점척도평균,3.56,exact_match,,383
numeric_value,중국,1-35,118,인식변화-①매우부정적-전체,1.6,exact_match,,383
numeric_value,중국,1-35,118,인식변화-④약간긍정적-전체,41.6,exact_match,,383
numeric_value,중국,1-41,121,관광경험-한국관광-구매경험률(%),62.2,exact_match,,764
numeric_value,중국,1-41,121,관광경험-한국관광-평균구매횟수(회),1.21,exact_match,,764
numeric_value,미국,1-16,802,호감도-전반적만족도-전체-5점척도평균,3.96,exact_match,,566
numeric_value,미국,1-16,802,호감도-전반적만족도-BASE,"1,300",found_as_substring,"OCR 텍스트 내 포함: '(1,300)'",566
numeric_value,미국,1-33,836,관심도-본인관심도변화(1년전대비)-전체-5점척도평균,3.70,exact_match,,517
numeric_value,미국,1-35,838,인식변화-전체-5점척도평균,3.92,exact_match,,381
numeric_value,미국,1-35,838,인식변화-③변화없음-전체,28.2,exact_match,,381
numeric_value,미국,1-41,841,관광경험-한국관광-구매경험률(%),36.9,exact_match,,765
numeric_value,미국,1-41,841,관광경험-한국관광-평균구매횟수(회),1.38,exact_match,,765
numeric_value,베트남,1-16,502,호감도-전반적만족도-전체-5점척도평균,3.99,exact_match,,523
numeric_value,베트남,1-16,502,호감도-전반적만족도-BASE,900,found_as_substring,OCR 텍스트 내 포함: '(900)',523
numeric_value,베트남,1-33,536,관심도-본인관심도변화(1년전대비)-전체-5점척도평균,3.69,exact_match,,479
numeric_value,베트남,1-35,538,인식변화-전체-5점척도평균,4.02,exact_match,,354
numeric_value,베트남,1-35,538,인식변화-⑤매우긍정적-전체,29.3,exact_match,,354
numeric_value,베트남,1-41,541,관광경험-한국관광-구매경험률(%),53.3,exact_match,,689
numeric_value,베트남,1-41,541,관광경험-한국관광-평균구매횟수(회),1.34,exact_match,,689
label_row_label,중국,1-41,121,한국 관광,한국 관광,exact_match,,764
label_row_label,미국,1-41,841,한국 관광,한국 관광,exact_match,,765
label_row_label,베트남,1-41,541,한국 관광,한국 관광,exact_match,,689
label_row_group_label,중국,1-16,82,만족도,만족도,exact_match,,564
label_row_group_label,미국,1-16,802,만족도,만족도,exact_match,,566
label_row_group_label,베트남,1-16,502,만족도,만족도,exact_match,,523
label_column_label,중국,1-35,118,변화 없음,변화 없음,exact_match,,383
label_column_label,미국,1-35,838,변화 없음,변화 없음,exact_match,,381
label_column_label,베트남,1-35,538,변화 없음,변화 없음,exact_match,,354
